Using somtoolbox.jar


Nearest neighbours to 'classical\classical_1-concerto_no.1_in_d_major_rv_2.mp3', using distance metric: L2
Rank	InputName                                                                                     	Distance
1	classical\classical_3-alleluia_georgian_chant.mp3                                             	141.95748734557216
2	classical\classical_9-o_gladsome_radiance.mp3                                                 	150.5496847198206
3	classical\classical_3-coleridge-taylor_violin_concerto_in_g_minor_op_80_allegro_molto.mp3     	152.0165146596377
4	classical\classical_9-preludio_v.mp3                                                          	153.64009379504856
5	classical\classical_3-o_theotokos_and_vergin_rejoice_(ave_maria).mp3                          	153.86457919021723
6	classical\classical_artist_1_album_2_track_1.mp3                                              	154.46927005268208
7	classical\classical_8-pandolfi_la_monella_romanesco_op_4_#3.mp3                               	154.98315811315965
8	classical\classical_artist_38_album_1_track_2.mp3                                             	156.5673619084941
9	classical\classical_5-lord_i_cry_unto_thee.mp3                                                	159.5505934749594
10	classical\classical_artist_40_album_3_track_1.mp3                                             	159.96746118394867
11	classical\classical_artist_27_album_1_track_4.mp3                                             	160.92982803445383
12	classical\classical_artist_6_album_1_track_4.mp3                                              	164.07197250825413
13	rock_pop\rock_pop_2-eli.mp3                                                                   	164.30582683531478
14	classical\classical_6-sergei_rachmaninoff_-_6_moment.mp3                                      	164.4078727136797
15	classical\classical_17-great_doxology.mp3                                                     	164.6152031689615
16	electronic\electronic_artist_42_album_1_track_2.mp3                                           	164.67301388805174
17	classical\classical_2-sergei_rachmaninoff_-_6_moment.mp3                                      	164.99425697750286
18	classical\classical_9-christmas_svetilen.mp3                                                  	166.35291512441125
19	classical\classical_artist_39_album_1_track_1.mp3                                             	167.44356102768094
20	classical\classical_artist_27_album_1_track_7.mp3                                             	167.56882690052814
21	classical\classical_artist_10_album_1_track_4.mp3                                             	167.57557698891696
22	classical\classical_artist_10_album_2_track_1.mp3                                             	168.2581105181555
23	classical\classical_artist_12_album_1_track_5.mp3                                             	168.49369879295838
24	classical\classical_8-de_profundis_(pierre_certon).mp3                                        	168.6399100631528
25	classical\classical_21-go_from_my_window.mp3                                                  	170.0536262172826
26	classical\classical_11-to_thee_o_theotokos_(byzantine_chant).mp3                              	170.26696587062202
27	classical\classical_artist_36_album_1_track_3.mp3                                             	170.59874388085365
28	classical\classical_artist_39_album_1_track_2.mp3                                             	170.8230603830323
29	classical\classical_artist_36_album_2_track_3.mp3                                             	171.94115447141195
30	classical\classical_21-les_fauvetes_plaintives_xivem.mp3                                      	171.95058395747654
31	classical\classical_17-psallat_immensas_chorus.mp3                                            	172.72523990661927
32	classical\classical_artist_7_album_4_track_1.mp3                                              	174.1004269073387
33	classical\classical_artist_27_album_1_track_1.mp3                                             	174.2714842644821
34	classical\classical_artist_36_album_2_track_1.mp3                                             	175.54352429793377
35	classical\classical_artist_22_album_1_track_1.mp3                                             	175.73464208767646
36	classical\classical_26-handel_trio_sonata_op._2_no._3.mp3                                     	176.1612935171776
37	classical\classical_5-villancico_levayme_amor_d'aquesta_terra.mp3                             	176.26973972442028
