Using somtoolbox.jar


Nearest neighbours to 'classical\classical_artist_10_album_1_track_1.mp3', using distance metric: L2
Rank	InputName                                                                                     	Distance
1	classical\classical_artist_10_album_1_track_2.mp3                                             	122.5729326913793
2	classical\classical_artist_10_album_2_track_2.mp3                                             	127.13516890543656
3	classical\classical_artist_39_album_1_track_3.mp3                                             	128.63316936995997
4	classical\classical_5-the_father_and_the_son_(byzantine_chant).mp3                            	131.42731237311156
5	classical\classical_14-praise_ye_the_name_of_the_lord_bulgarian_and_bizantine.mp3             	137.0725259019029
6	world\world_artist_122_album_1_track_4.mp3                                                    	140.9472068078351
7	classical\classical_artist_27_album_1_track_5.mp3                                             	144.58103505585535
8	classical\classical_artist_9_album_2_track_10.mp3                                             	145.44929665539718
9	world\world_artist_122_album_1_track_1.mp3                                                    	146.96108116914093
10	classical\classical_artist_10_album_1_track_3.mp3                                             	150.42796737322686
11	classical\classical_9-o_gladsome_radiance.mp3                                                 	152.68016784521427
12	classical\classical_3-dime_a_do_tienes_las_mientes.mp3                                        	153.68891166433255
13	classical\classical_artist_15_album_2_track_4.mp3                                             	154.73086581551232
14	classical\classical_artist_12_album_1_track_3.mp3                                             	156.66309411342652
15	classical\classical_8-tamerlano_act_i_track_8.mp3                                             	157.58539089101743
16	classical\classical_artist_9_album_2_track_5.mp3                                              	159.01453379535303
17	world\world_artist_124_album_3_track_2.mp3                                                    	160.81853971138077
18	classical\classical_7-villancico_agora_viniesse_un_viento.mp3                                 	162.01394922420502
19	classical\classical_artist_35_album_2_track_4.mp3                                             	162.5592138460656
20	classical\classical_artist_28_album_2_track_2.mp3                                             	162.95154955197242
21	classical\classical_artist_27_album_1_track_6.mp3                                             	165.2517547732052
22	classical\classical_5-amarilli_mia_bella_(caccini).mp3                                        	168.11686494458561
23	classical\classical_8-fragment_from_the_divine_liturgy_strochnoy_chant.mp3                    	168.17170241285567
24	classical\classical_14-nisi_dominos_edificaverit_domu.mp3                                     	171.01606667252952
25	classical\classical_15-tamerlano_act_i_track_15.mp3                                           	172.14209840705942
26	classical\classical_artist_10_album_2_track_1.mp3                                             	172.51016676043025
27	classical\classical_artist_1_album_1_track_2.mp3                                              	172.95652366685883
28	classical\classical_22-la_spagna.mp3                                                          	174.5146231288942
29	classical\classical_artist_32_album_1_track_3.mp3                                             	174.53760225735883
30	classical\classical_artist_31_album_1_track_3.mp3                                             	174.96010780669747
31	classical\classical_artist_15_album_1_track_5.mp3                                             	176.2876919563876
