Using somtoolbox.jar


Nearest neighbours to 'classical\classical_artist_15_album_2_track_4.mp3', using distance metric: L2
Rank	InputName                                                                            	Distance
1	classical\classical_7-villancico_agora_viniesse_un_viento.mp3                        	113.23511739342403
2	classical\classical_artist_12_album_1_track_3.mp3                                    	137.2540258907367
3	classical\classical_5-amarilli_mia_bella_(caccini).mp3                               	148.88405797826056
4	classical\classical_artist_1_album_1_track_4.mp3                                     	151.21004087934347
5	classical\classical_artist_36_album_1_track_6.mp3                                    	153.47503590430557
6	classical\classical_artist_10_album_1_track_1.mp3                                    	154.73086581551232
7	classical\classical_artist_1_album_1_track_2.mp3                                     	155.65215231155113
8	classical\classical_15-tamerlano_act_i_track_15.mp3                                  	156.4909694275719
9	classical\classical_3-dime_a_do_tienes_las_mientes.mp3                               	156.61483468219257
10	world\world_artist_122_album_1_track_1.mp3                                           	156.73202234975332
11	world\world_16-what_wonderful_news.mp3                                               	157.45502567111603
12	classical\classical_19-tamerlano_act_iii_track_19.mp3                                	162.20034692075902
13	classical\classical_14-nisi_dominos_edificaverit_domu.mp3                            	163.79587376871532
14	classical\classical_artist_9_album_2_track_10.mp3                                    	164.3406424762538
15	classical\classical_artist_24_album_1_track_1.mp3                                    	165.66180086552674
16	classical\classical_16-tamerlano_act_i_track_16.mp3                                  	166.70751290229344
17	classical\classical_artist_9_album_2_track_2.mp3                                     	166.80754195833305
18	classical\classical_artist_40_album_5_track_2.mp3                                    	167.48847631082617
19	classical\classical_artist_6_album_1_track_6.mp3                                     	168.3013906764098
20	classical\classical_artist_1_album_1_track_7.mp3                                     	168.38299093935382
21	classical\classical_artist_32_album_1_track_5.mp3                                    	168.84231939880198
22	classical\classical_6-sonate_in_c_minor_toccata_corrente_corrente_corrente.mp3       	168.9278667060314
23	classical\classical_artist_39_album_1_track_3.mp3                                    	168.9781810602103
24	classical\classical_artist_32_album_1_track_3.mp3                                    	169.86935355236722
25	world\world_artist_122_album_1_track_4.mp3                                           	170.9050294586442
26	classical\classical_14-praise_ye_the_name_of_the_lord_bulgarian_and_bizantine.mp3    	172.48032059690155
27	classical\classical_artist_23_album_1_track_1.mp3                                    	173.30503018528321
28	classical\classical_artist_10_album_1_track_2.mp3                                    	173.45154326630177
29	classical\classical_artist_32_album_1_track_4.mp3                                    	174.86212501200103
30	classical\classical_26-villancico_sospiro_una_senora.mp3                             	175.885871345242
31	classical\classical_7-tombeau_de_m._blancheroche_(froberger).mp3                     	177.49085413533663
32	classical\classical_artist_9_album_2_track_1.mp3                                     	178.2081668533669
33	classical\classical_12-tamerlano_act_i_track_12.mp3                                  	178.77889369752015
34	classical\classical_artist_35_album_2_track_4.mp3                                    	181.28779656491807
35	classical\classical_artist_10_album_1_track_3.mp3                                    	181.50800992068275
36	classical\classical_artist_32_album_3_track_1.mp3                                    	181.5867614421681
37	classical\classical_artist_24_album_1_track_4.mp3                                    	181.6927628195862
38	classical\classical_artist_15_album_1_track_1.mp3                                    	181.9883576777814
39	classical\classical_10-i_care_not_for_these_ladies_(thomas_campian).mp3              	182.96222110573717
40	classical\classical_11-tamerlano_act_i_track_11.mp3                                  	183.66325169301106
41	classical\classical_artist_35_album_2_track_1.mp3                                    	184.08501307293113
42	classical\classical_artist_30_album_1_track_1.mp3                                    	184.48003201722497
43	classical\classical_artist_4_album_1_track_2.mp3                                     	185.50989274096335
44	classical\classical_artist_9_album_3_track_1.mp3                                     	186.0221751418632
45	classical\classical_8-fragment_from_the_divine_liturgy_strochnoy_chant.mp3           	187.23061446973628
46	classical\classical_artist_15_album_1_track_5.mp3                                    	187.73436637980785
47	classical\classical_8-suite_ii_in_re_minore_-_allemande.mp3                          	188.23076977969842
48	classical\classical_artist_15_album_2_track_5.mp3                                    	188.79825655928477
49	classical\classical_artist_40_album_4_track_1.mp3                                    	192.3143945624789
50	classical\classical_3-tamerlano_act_iii_track_3.mp3                                  	192.86860804224332
51	classical\classical_22-la_spagna.mp3                                                 	193.5714087867571
52	classical\classical_artist_27_album_1_track_5.mp3                                    	193.63439891946413
53	classical\classical_artist_35_album_1_track_3.mp3                                    	194.46092476680144
54	classical\classical_7-albinoni_sonata_a_violino_solo_di_me_tomaso_tomaso_albinoni.mp3	194.63081359684145
55	classical\classical_artist_35_album_1_track_1.mp3                                    	196.55949855377656
56	classical\classical_artist_10_album_2_track_2.mp3                                    	196.8931223773656
57	classical\classical_4-von_biber_sonata_i_in_a_major.mp3                              	197.43852307963982
58	electronic\electronic_10-brilliant_day_(eine_kleine_mix).mp3                         	198.06358063130796
59	classical\classical_4-passemezzo_and_saltarello.mp3                                  	199.5644046734514
60	classical\classical_artist_40_album_2_track_4.mp3                                    	199.7729932881269
61	classical\classical_artist_26_album_1_track_1.mp3                                    	200.33214283155243
62	classical\classical_artist_9_album_2_track_6.mp3                                     	201.34394809819852
63	classical\classical_20-fabordon_del_primer_tono.mp3                                  	201.52717874868893
64	classical\classical_artist_40_album_4_track_4.mp3                                    	201.93217269721265
65	classical\classical_4-musette_suite_from_les_fetes.mp3                               	202.93964415249673
66	classical\classical_5-the_father_and_the_son_(byzantine_chant).mp3                   	202.9599603935912
67	classical\classical_artist_9_album_3_track_5.mp3                                     	203.5631452794395
68	classical\classical_7-suite_ii_in_re_minore_-_prelude.mp3                            	203.90503396826364
69	classical\classical_19-suite_v_in_do_minore_-_gigue.mp3                              	204.43332331220492
70	classical\classical_artist_28_album_2_track_2.mp3                                    	205.66345904849902
71	classical\classical_artist_9_album_1_track_6.mp3                                     	206.47687713607252
72	classical\classical_9-chaconne_(ennemond_gaultier_le_vieux).mp3                      	206.76565578075574
73	classical\classical_5-death_and_the_lady.mp3                                         	207.45822682931527
74	classical\classical_26-suite_in_f_major_-_allemande.mp3                              	207.68584344332265
75	classical\classical_8-tamerlano_act_ii_track_8.mp3                                   	207.93144036522503
76	classical\classical_artist_20_album_1_track_4.mp3                                    	208.1295975414705
77	classical\classical_artist_6_album_1_track_7.mp3                                     	208.26818301045859
78	classical\classical_9-preludio_v.mp3                                                 	208.50462911759942
79	world\world_artist_113_album_1_track_6.mp3                                           	208.85688467530028
80	classical\classical_21-tamerlano_act_ii_track_21.mp3                                 	208.97085117315177
81	classical\classical_9-concerto_no.3_in_f_major_rv_2.mp3                              	209.09658773529299
82	classical\classical_21-que_faray_ie_mal_fortune.mp3                                  	209.77002886207686
83	classical\classical_artist_15_album_2_track_6.mp3                                    	210.2049109678788
84	world\world_artist_112_album_2_track_2.mp3                                           	210.586585591953
85	classical\classical_8-tamerlano_act_i_track_8.mp3                                    	210.75549429026884
86	classical\classical_11-suite_iv_in_mi_bemolle_maggiore_-_bouree_i_e_ii.mp3           	211.62868466579738
87	classical\classical_16-saltarello_primo.mp3                                          	211.88934713841707
88	classical\classical_8-bwv_1043_ii._largo.mp3                                         	212.15208994937987
89	classical\classical_artist_14_album_1_track_6.mp3                                    	212.4059934393317
90	classical\classical_artist_31_album_1_track_3.mp3                                    	212.48524546599725
91	classical\classical_18-o_my_jesus_the_most_gracious_one.mp3                          	212.79524680028024
92	classical\classical_9-o_gladsome_radiance.mp3                                        	213.02457995359703
93	classical\classical_artist_9_album_2_track_5.mp3                                     	213.60079978445194
94	classical\classical_24-suite_in_g_minor_-_sarabande.mp3                              	214.0647868595497
95	classical\classical_13-partita_terza_in_la_maggiore_-_menuet_i_e_ii.mp3              	214.30089227785936
96	classical\classical_artist_10_album_1_track_4.mp3                                    	215.11229132128614
97	classical\classical_28-suite_in_f_major_-_sarabande.mp3                              	215.4219254357404
98	classical\classical_artist_9_album_1_track_5.mp3                                     	215.43013449486494
99	classical\classical_artist_7_album_4_track_1.mp3                                     	215.44179623141488
100	classical\classical_1-prelude_(phalese).mp3                                          	216.95339109172255
