Using somtoolbox.jar


Nearest neighbours to 'electronic\electronic_8-ambriel.mp3', using distance metric: L2
Rank	InputName                                                	Distance
1	rock_pop\rock_pop_9-goodbye_caramel.mp3                  	922.4686426206606
2	rock_pop\rock_pop_6-hey_now_babus.mp3                    	950.4877262144934
3	metal_punk\metal_punk_6-three.mp3                        	1003.490385459323
4	world\world_2-the_wheel_of_the_year.mp3                  	1005.9165480867933
5	rock_pop\rock_pop_artist_106_album_2_track_2.mp3         	1007.0268583509549
6	rock_pop\rock_pop_10-carefully_watch_the_news.mp3        	1010.6775814614291
7	world\world_7-the_brandevin.mp3                          	1014.2788949661086
8	rock_pop\rock_pop_8-fruitless.mp3                        	1021.2032636048907
9	rock_pop\rock_pop_artist_84_album_1_track_1.mp3          	1021.3913838772796
10	rock_pop\rock_pop_5-legend.mp3                           	1021.6107007644318
11	jazz_blues\jazz_blues_1-needs_a_bridge.mp3               	1030.1192137973424
12	rock_pop\rock_pop_artist_96_album_1_track_2.mp3          	1030.189266079991
13	jazz_blues\jazz_blues_artist_74_album_2_track_3.mp3      	1031.9655153003507
14	rock_pop\rock_pop_artist_106_album_2_track_4.mp3         	1045.285547639955
15	rock_pop\rock_pop_artist_94_album_1_track_4.mp3          	1047.6149160672594
16	world\world_6-cutty_wren.mp3                             	1047.8746586589364
17	rock_pop\rock_pop_7-dawn.mp3                             	1048.5681760114132
18	electronic\electronic_2-sunrise.mp3                      	1050.9311904470435
19	rock_pop\rock_pop_artist_88_album_1_track_1.mp3          	1054.7709340395293
20	metal_punk\metal_punk_artist_77_album_3_track_2.mp3      	1059.941456891367
21	rock_pop\rock_pop_artist_104_album_1_track_2.mp3         	1061.1146145318282
22	jazz_blues\jazz_blues_14-preachin'_blues.mp3             	1063.4785195817947
23	world\world_6-pat_do_this.mp3                            	1065.777345478045
24	rock_pop\rock_pop_artist_106_album_1_track_1.mp3         	1067.0738872449483
25	world\world_artist_122_album_2_track_2.mp3               	1068.9380497915774
26	rock_pop\rock_pop_5-a_little_thing.mp3                   	1069.9164533064168
27	jazz_blues\jazz_blues_artist_73_album_1_track_3.mp3      	1071.4621934978177
28	rock_pop\rock_pop_artist_100_album_1_track_1.mp3         	1072.9380177926414
29	rock_pop\rock_pop_13-trippin'_(inside_my_head).mp3       	1073.9201253744086
30	classical\classical_25-rujero.mp3                        	1073.9820689815397
31	rock_pop\rock_pop_artist_100_album_1_track_2.mp3         	1077.179388321235
32	jazz_blues\jazz_blues_18-slide_boogie.mp3                	1080.3237163472022
33	rock_pop\rock_pop_9-in_the_morning.mp3                   	1081.4284756798756
34	rock_pop\rock_pop_artist_85_album_1_track_2.mp3          	1081.6595414918606
35	rock_pop\rock_pop_artist_102_album_2_track_1.mp3         	1082.1937432916386
36	jazz_blues\jazz_blues_artist_71_album_1_track_2.mp3      	1084.2490725761734
37	world\world_14-milk_shake.mp3                            	1085.288899554588
