Using somtoolbox.jar


Nearest neighbours to 'jazz_blues\jazz_blues_artist_71_album_1_track_2.mp3', using distance metric: L2
Rank	InputName                                                                                       	Distance
1	rock_pop\rock_pop_5-a_little_thing.mp3                                                          	283.3839688221329
2	world\world_artist_122_album_3_track_4.mp3                                                      	310.9986273009603
3	jazz_blues\jazz_blues_artist_74_album_1_track_1.mp3                                             	316.02413387210584
4	metal_punk\metal_punk_8-in_spirit.mp3                                                           	349.77233630880005
5	jazz_blues\jazz_blues_19-sittin'_under_the_tree.mp3                                             	392.9842586304779
6	world\world_10-sir_watkins'_delight.mp3                                                         	394.9363712021326
7	world\world_artist_128_album_1_track_1.mp3                                                      	395.24982592817315
8	world\world_2-the_wheel_of_the_year.mp3                                                         	398.60032902675715
9	jazz_blues\jazz_blues_1-needs_a_bridge.mp3                                                      	400.0454018028641
10	world\world_8-prayer.mp3                                                                        	404.46159611418807
11	rock_pop\rock_pop_artist_102_album_2_track_1.mp3                                                	406.0588777500429
12	world\world_7-lenten_is_come.mp3                                                                	409.7236580785953
13	world\world_4-bhaarat_(india).mp3                                                               	410.03951198241197
14	rock_pop\rock_pop_10-understanding.mp3                                                          	410.26071615807064
15	jazz_blues\jazz_blues_artist_75_album_1_track_1.mp3                                             	410.3490023930791
16	metal_punk\metal_punk_artist_80_album_2_track_1.mp3                                             	411.7830035721565
17	world\world_12-our_watcher_show_us_the_way.mp3                                                  	414.2266504022612
18	rock_pop\rock_pop_3-shift.mp3                                                                   	415.02996536291886
19	classical\classical_14-partita_terza_in_la_maggiore_-_bouree.mp3                                	420.2508632706541
20	metal_punk\metal_punk_artist_81_album_1_track_1.mp3                                             	420.5398936834921
21	jazz_blues\jazz_blues_3-you_think_too_much.mp3                                                  	423.19346469752287
22	classical\classical_artist_16_album_1_track_1.mp3                                               	423.24752918825243
23	rock_pop\rock_pop_artist_100_album_2_track_2.mp3                                                	423.62851191244295
24	metal_punk\metal_punk_7-learn_to_burn.mp3                                                       	424.63565403637676
25	world\world_artist_122_album_4_track_3.mp3                                                      	425.180034212875
26	classical\classical_7-tamerlano_act_i_track_7.mp3                                               	427.59812278132233
27	world\world_artist_113_album_1_track_1.mp3                                                      	430.06265030797744
28	classical\classical_2-ar_ne_kuth_ich_sorghe_non.mp3                                             	432.82086991228437
29	classical\classical_artist_9_album_2_track_11.mp3                                               	434.88094864914257
