Using somtoolbox.jar


Nearest neighbours to 'metal_punk\metal_punk_7-heavenly_rain.mp3', using distance metric: L2
Rank	InputName                                                                        	Distance
1	classical\classical_6-dvorak_violin_concerto_in_a_minor_op_53_finale.mp3         	252.88252453527045
2	metal_punk\metal_punk_2-angel's_blood.mp3                                        	268.1863633229115
3	world\world_artist_119_album_2_track_1.mp3                                       	270.20788550882907
4	metal_punk\metal_punk_4-what's_wrong_with_my_footm.mp3                           	273.48863642044006
5	metal_punk\metal_punk_11-donkey_punch.mp3                                        	287.75432170307096
6	world\world_artist_117_album_2_track_4.mp3                                       	294.67179505769496
7	metal_punk\metal_punk_7-voice_of_disharmony.mp3                                  	295.03069477631584
8	world\world_10-reflection.mp3                                                    	296.8299483073889
9	metal_punk\metal_punk_9-perfect_crime.mp3                                        	303.3124902069289
10	metal_punk\metal_punk_3-release.mp3                                              	307.04647768426975
11	classical\classical_16-suite_in_c_major_-_allemande_l.mp3                        	308.19520339586893
12	classical\classical_artist_27_album_1_track_6.mp3                                	308.5934239886236
13	world\world_artist_111_album_2_track_2.mp3                                       	310.82927629357084
14	classical\classical_13-bwv_1001_iv._presto.mp3                                   	311.77077928237793
15	classical\classical_artist_4_album_1_track_6.mp3                                 	314.6892502361432
16	electronic\electronic_artist_50_album_1_track_2.mp3                              	316.72983521289393
17	jazz_blues\jazz_blues_7-claytonia.mp3                                            	325.4036604649036
18	classical\classical_artist_20_album_1_track_4.mp3                                	325.6334147809239
19	world\world_artist_119_album_2_track_2.mp3                                       	326.2267237731748
20	metal_punk\metal_punk_8-paper_tiger.mp3                                          	327.13950060779587
21	world\world_7-two_plus_blue.mp3                                                  	327.50629470506357
22	world\world_artist_119_album_1_track_3.mp3                                       	327.50629470506357
23	electronic\electronic_artist_55_album_1_track_1.mp3                              	330.7867676470399
24	metal_punk\metal_punk_3-just_like_your_mom.mp3                                   	331.2257180835896
25	rock_pop\rock_pop_6-coda.mp3                                                     	331.24637893407044
26	classical\classical_artist_9_album_3_track_2.mp3                                 	331.909575161516
