Using somtoolbox.jar


Nearest neighbours to 'rock_pop\rock_pop_3-air_chair.mp3', using distance metric: L2
Rank	InputName                                                                           	Distance
1	classical\classical_artist_27_album_1_track_2.mp3                                   	83.12885928327506
2	classical\classical_artist_21_album_1_track_1.mp3                                   	86.6587337073855
3	classical\classical_3-bless_the_lord_o_my_soul.mp3                                  	86.76971007308121
4	classical\classical_artist_17_album_1_track_2.mp3                                   	89.4482930021933
5	classical\classical_artist_22_album_2_track_2.mp3                                   	93.74027716994316
6	classical\classical_3-rachmaninov-to_thee_we_sing.mp3                               	95.45072778913837
7	classical\classical_artist_22_album_2_track_4.mp3                                   	98.6970637683352
8	classical\classical_2-fruhlingsnacht.mp3                                            	102.13436082537947
9	classical\classical_15-l'vov-of_thy_mystical_supper.mp3                             	105.7030103564161
10	classical\classical_artist_25_album_1_track_2.mp3                                   	106.15120918366304
11	classical\classical_7-moritz_moszkowski_-_3_moments.mp3                             	106.32247730961787
12	classical\classical_6-allegretto_ma_non_troppo_(symphony_in_d_minor).mp3            	106.50941428660023
13	classical\classical_11-o_lord_thou_are_my_only_hope.mp3                             	107.08749500416792
14	classical\classical_1-widmung.mp3                                                   	109.31642672511418
15	classical\classical_10-tamerlano_act_ii_track_10.mp3                                	111.55238324071948
16	classical\classical_artist_11_album_1_track_2.mp3                                   	115.85537317526027
17	classical\classical_artist_21_album_1_track_2.mp3                                   	116.26893408831756
18	classical\classical_artist_22_album_2_track_3.mp3                                   	118.84408733179114
19	world\world_artist_117_album_2_track_3.mp3                                          	119.30567578908452
20	classical\classical_6-set_a_6_in_g_minor.mp3                                        	119.86253784715244
21	rock_pop\rock_pop_11-planet.mp3                                                     	122.29512681671008
22	classical\classical_artist_24_album_1_track_3.mp3                                   	125.24696455668126
23	classical\classical_8-o_gladsome_radiance.mp3                                       	127.19856895321742
24	classical\classical_artist_25_album_2_track_3.mp3                                   	127.47652925837971
25	classical\classical_artist_21_album_1_track_4.mp3                                   	127.81541889549128
26	classical\classical_artist_22_album_1_track_3.mp3                                   	130.33579826621485
