Using somtoolbox.jar


Nearest neighbours to 'metal_punk\metal_punk_7-heavenly_rain.mp3', using distance metric: L1
Rank	InputName                                                  	Distance
1	metal_punk\metal_punk_6-last_depression.mp3                	38.089767705588834
2	rock_pop\rock_pop_artist_107_album_1_track_1.mp3           	53.28239854041002
3	rock_pop\rock_pop_8-devil's_daughter.mp3                   	54.00463173710835
4	metal_punk\metal_punk_artist_79_album_3_track_2.mp3        	54.07608592703864
5	metal_punk\metal_punk_artist_77_album_1_track_2.mp3        	54.27788088340738
6	metal_punk\metal_punk_10-forshadowing_the_endless_quest.mp3	55.976942672908876
7	rock_pop\rock_pop_artist_99_album_1_track_2.mp3            	56.25696198197928
8	metal_punk\metal_punk_3-new_world_whore.mp3                	57.19421513765038
9	rock_pop\rock_pop_12-rotgut.mp3                            	57.33347916156641
10	metal_punk\metal_punk_artist_82_album_3_track_1.mp3        	57.509125730723326
11	metal_punk\metal_punk_artist_76_album_1_track_3.mp3        	57.682843124757824
12	rock_pop\rock_pop_2-middle_age_suicide.mp3                 	58.19332333539816
13	rock_pop\rock_pop_artist_101_album_1_track_1.mp3           	58.56406632783134
14	metal_punk\metal_punk_9-perfect_crime.mp3                  	58.66922171083105
15	metal_punk\metal_punk_4-what's_wrong_with_my_footm.mp3     	59.05738458192953
16	metal_punk\metal_punk_4-right_on_target.mp3                	59.064877913424255
17	metal_punk\metal_punk_2-stay.mp3                           	60.47737944579087
18	rock_pop\rock_pop_artist_94_album_1_track_3.mp3            	60.67915261212373
19	rock_pop\rock_pop_9-situation.mp3                          	60.878308174988454
20	world\world_1-sweet_dissonance.mp3                         	61.342270646602216
21	metal_punk\metal_punk_artist_82_album_3_track_2.mp3        	61.542078236455005
22	rock_pop\rock_pop_7-mine_tonite.mp3                        	62.10375555431738
23	metal_punk\metal_punk_artist_82_album_1_track_1.mp3        	62.51589681229978
24	metal_punk\metal_punk_6-demolition_joyride.mp3             	62.66996558238641
25	rock_pop\rock_pop_13-every_day_like_saturday.mp3           	62.740546090407484
26	metal_punk\metal_punk_6-gone_to_the_other_room.mp3         	62.805958475968716
27	metal_punk\metal_punk_1-teenage_shutdown.mp3               	63.554145540522654
28	rock_pop\rock_pop_artist_94_album_1_track_1.mp3            	63.57163330129129
29	metal_punk\metal_punk_artist_77_album_5_track_2.mp3        	63.91546671845467
30	metal_punk\metal_punk_8-paper_tiger.mp3                    	64.10089846923269
31	rock_pop\rock_pop_14-higher_education.mp3                  	65.06274539805898
32	rock_pop\rock_pop_1-i'm_alive.mp3                          	65.18661179134476
33	rock_pop\rock_pop_11-rock_n_roll_sweetheart.mp3            	65.22503489992889
34	rock_pop\rock_pop_artist_102_album_2_track_2.mp3           	65.32625156346187
35	rock_pop\rock_pop_artist_101_album_1_track_2.mp3           	65.35208872101254
36	metal_punk\metal_punk_6-in_my_livid_eyes.mp3               	65.41388196346988
37	metal_punk\metal_punk_5-kc_rip_off.mp3                     	65.76700739060132
38	metal_punk\metal_punk_artist_83_album_1_track_2.mp3        	66.18817746442198
39	metal_punk\metal_punk_artist_77_album_5_track_1.mp3        	66.38842242078579
40	metal_punk\metal_punk_1-party_patrol.mp3                   	66.61382273222286
41	metal_punk\metal_punk_11-donkey_punch.mp3                  	66.75205352309676
42	metal_punk\metal_punk_3-just_like_your_mom.mp3             	66.77035341792738
