Rank	Vector Label	Distance	
1	classical\classical_artist_27_album_1_track_7.mp3	9.2907	
2	classical\classical_artist_10_album_1_track_4.mp3	9.8287	
3	classical\classical_artist_10_album_1_track_3.mp3	10.9907	
4	classical\classical_19-tobacco_(hume).mp3	11.1727	
5	world\world_artist_122_album_2_track_3.mp3	11.6262	
6	classical\classical_artist_23_album_1_track_3.mp3	11.7232	
7	classical\classical_9-christmas_svetilen.mp3	11.8489	
8	classical\classical_20-christ_is_borning_today_(a.bessarabov).mp3	11.9292	
9	classical\classical_artist_23_album_1_track_4.mp3	12.1486	
10	classical\classical_9-o_gladsome_radiance.mp3	12.2359	
11	classical\classical_artist_15_album_1_track_1.mp3	12.2508	
12	classical\classical_14-praise_ye_the_name_of_the_lord_bulgarian_and_bizantine.mp3	12.542	
13	world\world_2-the_wheel_of_the_year.mp3	12.621	
14	world\world_7-the_sea_as_a_moon-launched_mirror.mp3	12.7995	
15	world\world_artist_122_album_1_track_1.mp3	12.9334	
16	classical\classical_7-villancico_agora_viniesse_un_viento.mp3	12.943	
17	classical\classical_artist_23_album_1_track_2.mp3	12.9492	
18	world\world_7-burying_the_dread.mp3	12.9624	
19	classical\classical_14-nisi_dominos_edificaverit_domu.mp3	13.0086	
20	world\world_15-mixt_feelings.mp3	13.2	
21	classical\classical_artist_9_album_3_track_2.mp3	13.2701	
22	world\world_6-the_flowers_of_festiniog.mp3	13.2752	
23	rock_pop\rock_pop_8-fruitless.mp3	13.3256	
24	classical\classical_artist_10_album_2_track_2.mp3	13.3773	
25	classical\classical_24-i_saw_my_lady_weepe_(dowland).mp3	13.4352	
26	world\world_11-nou_welcome_somer.mp3	13.4579	
27	classical\classical_artist_7_album_4_track_1.mp3	13.4856	
28	classical\classical_artist_27_album_1_track_6.mp3	13.4921	
29	world\world_2-the_poet.mp3	13.5873	
30	classical\classical_16-o_theotokas_and_virgin_(j.sarty).mp3	13.8567	
31	classical\classical_artist_15_album_2_track_4.mp3	13.8777	
32	classical\classical_11-rest_sweet_nymphs_(pilkington_campion).mp3	14.0299	
33	world\world_10-sir_watkins'_delight.mp3	14.0735	
34	classical\classical_8-fragment_from_the_divine_liturgy_strochnoy_chant.mp3	14.1222	
35	classical\classical_artist_27_album_1_track_5.mp3	14.1938	
36	rock_pop\rock_pop_9-mr._y.mp3	14.1993	
37	classical\classical_artist_27_album_1_track_1.mp3	14.2029	
38	world\world_artist_111_album_1_track_3.mp3	14.2342	
39	classical\classical_artist_21_album_1_track_3.mp3	14.2747	
40	classical\classical_7-troparion_(sinodal_tone).mp3	14.3295	
41	world\world_artist_120_album_1_track_4.mp3	14.35	
42	classical\classical_artist_18_album_1_track_5.mp3	14.3508	
43	rock_pop\rock_pop_artist_97_album_1_track_2.mp3	14.4201	
44	classical\classical_artist_37_album_1_track_4.mp3	14.4317	
45	world\world_3-event_horizon.mp3	14.4527	
46	world\world_artist_121_album_1_track_1.mp3	14.5397	
47	world\world_artist_111_album_1_track_1.mp3	14.56	
48	world\world_artist_111_album_2_track_1.mp3	14.5878	
49	world\world_artist_119_album_3_track_1.mp3	14.6007	
50	world\world_11-the_marsh_of_rhuddlan.mp3	14.6051	
51	classical\classical_20-meet_it_is.mp3	14.6148	
52	world\world_7-lenten_is_come.mp3	14.6621	
53	world\world_16-john_barleycorn.mp3	14.7042	
54	classical\classical_23-ricercar_secondo_musicale.mp3	14.8649	
55	classical\classical_19-de_sarabande.mp3	15.0068	
56	world\world_6-advice_from_the_angel_of_thresholds.mp3	15.0398	
57	world\world_artist_115_album_3_track_2.mp3	15.0708	
58	classical\classical_8-de_profundis_(pierre_certon).mp3	15.0953	
59	classical\classical_artist_21_album_1_track_5.mp3	15.1093	
60	classical\classical_artist_39_album_1_track_3.mp3	15.1131	
61	world\world_artist_111_album_2_track_2.mp3	15.138	
62	classical\classical_artist_18_album_1_track_4.mp3	15.1506	
63	world\world_artist_112_album_1_track_1.mp3	15.2954	
64	world\world_7-the_brandevin.mp3	15.3	
65	world\world_artist_111_album_1_track_4.mp3	15.3323	
66	jazz_blues\jazz_blues_6-oaks.mp3	15.3554	
67	classical\classical_artist_14_album_4_track_5.mp3	15.3651	
68	classical\classical_artist_27_album_1_track_4.mp3	15.3949	
69	classical\classical_artist_22_album_2_track_1.mp3	15.3989	
70	classical\classical_artist_15_album_2_track_5.mp3	15.4293	
71	classical\classical_8-o_gladsome_radiance.mp3	15.4391	
72	classical\classical_artist_27_album_1_track_3.mp3	15.5051	
73	world\world_artist_119_album_2_track_3.mp3	15.5765	
