Rank	Vector Label	Distance	
1	classical\classical_artist_15_album_1_track_5.mp3	5.7847	
2	classical\classical_7-villancico_agora_viniesse_un_viento.mp3	6.6388	
3	classical\classical_artist_15_album_2_track_5.mp3	6.6423	
4	classical\classical_14-nisi_dominos_edificaverit_domu.mp3	6.8236	
5	classical\classical_3-dime_a_do_tienes_las_mientes.mp3	7.0076	
6	world\world_17-music_of_waters.mp3	7.1953	
7	classical\classical_artist_15_album_1_track_1.mp3	7.4032	
8	classical\classical_29-recuerde_el_alma_dormida.mp3	7.7011	
9	classical\classical_artist_7_album_4_track_1.mp3	7.7424	
10	world\world_11-nou_welcome_somer.mp3	7.7719	
11	classical\classical_artist_37_album_1_track_4.mp3	7.9097	
12	classical\classical_4-chanter_voel_par_grant_amour.mp3	8.0034	
13	world\world_artist_111_album_1_track_1.mp3	8.2314	
14	world\world_artist_111_album_1_track_3.mp3	8.2574	
15	classical\classical_5-villancico_levayme_amor_d'aquesta_terra.mp3	8.3559	
16	classical\classical_artist_6_album_1_track_6.mp3	8.3947	
17	world\world_7-the_sea_as_a_moon-launched_mirror.mp3	8.5957	
18	classical\classical_5-lord_i_cry_unto_thee.mp3	8.6328	
19	classical\classical_artist_18_album_1_track_5.mp3	8.6356	
20	classical\classical_artist_18_album_1_track_4.mp3	8.6918	
21	classical\classical_artist_14_album_4_track_2.mp3	8.8311	
22	classical\classical_artist_16_album_1_track_2.mp3	9.0012	
23	classical\classical_8-o_gladsome_radiance.mp3	9.0315	
24	classical\classical_artist_7_album_1_track_9.mp3	9.0441	
25	classical\classical_10-gigue.mp3	9.0582	
26	classical\classical_5-amarilli_mia_bella_(caccini).mp3	9.1375	
27	classical\classical_artist_21_album_1_track_3.mp3	9.1947	
28	classical\classical_4-ces_facheux_sotz_(anon).mp3	9.2515	
29	classical\classical_artist_15_album_2_track_6.mp3	9.2723	
30	classical\classical_artist_16_album_1_track_5.mp3	9.3203	
31	classical\classical_11-rest_sweet_nymphs_(pilkington_campion).mp3	9.3306	
32	world\world_10-sir_watkins'_delight.mp3	9.3622	
33	classical\classical_artist_21_album_1_track_5.mp3	9.3759	
34	world\world_3-event_horizon.mp3	9.4122	
35	classical\classical_27-pavanas.mp3	9.4294	
36	world\world_artist_112_album_1_track_1.mp3	9.4609	
37	classical\classical_artist_15_album_1_track_2.mp3	9.4994	
38	classical\classical_13-canzona_i.mp3	9.5074	
39	classical\classical_artist_21_album_1_track_2.mp3	9.5296	
40	classical\classical_8-de_profundis_(pierre_certon).mp3	9.5366	
41	classical\classical_9-christmas_svetilen.mp3	9.5774	
42	classical\classical_artist_9_album_1_track_4.mp3	9.6142	
43	classical\classical_artist_14_album_6_track_7.mp3	9.6191	
44	classical\classical_artist_15_album_1_track_6.mp3	9.6258	
45	world\world_6-advice_from_the_angel_of_thresholds.mp3	9.6363	
46	classical\classical_artist_16_album_1_track_7.mp3	9.675	
47	classical\classical_artist_33_album_1_track_1.mp3	9.7249	
48	classical\classical_artist_23_album_1_track_4.mp3	9.7268	
49	classical\classical_6-sergei_rachmaninoff_-_6_moment.mp3	9.7404	
50	world\world_20-won_for_the_road.mp3	9.7809	
51	classical\classical_2-quel_espoir_(pierre_guedron).mp3	9.8157	
52	classical\classical_artist_27_album_1_track_1.mp3	9.8298	
53	rock_pop\rock_pop_artist_100_album_5_track_3.mp3	9.8485	
54	classical\classical_artist_32_album_1_track_6.mp3	9.8698	
55	classical\classical_artist_27_album_1_track_4.mp3	9.8892	
56	classical\classical_artist_14_album_4_track_1.mp3	9.9697	
57	classical\classical_artist_10_album_1_track_3.mp3	10.0161	
58	world\world_artist_115_album_3_track_2.mp3	10.0341	
59	world\world_15-mixt_feelings.mp3	10.0574	
60	classical\classical_27-a_toy_(lute).mp3	10.0794	
61	world\world_5-survival_in_a_house_darkening.mp3	10.1152	
62	classical\classical_7-toccata_xvii.mp3	10.131	
63	classical\classical_23-ricercar_secondo_musicale.mp3	10.1523	
64	classical\classical_6-capirola_qui_tollis_peccata_mundi.mp3	10.159	
65	classical\classical_18-la_volunte_(sandrin).mp3	10.1728	
66	classical\classical_16-besse_bell.mp3	10.2032	
67	classical\classical_artist_15_album_2_track_3.mp3	10.2515	
68	classical\classical_2-recercar_2.mp3	10.2633	
69	classical\classical_17-soneta_nova_angeleta_sovra_l'ale_accorta.mp3	10.2684	
70	classical\classical_artist_14_album_4_track_6.mp3	10.2702	
71	world\world_artist_111_album_2_track_2.mp3	10.3187	
72	classical\classical_artist_14_album_6_track_4.mp3	10.3387	
73	classical\classical_artist_7_album_4_track_5.mp3	10.3725	
74	world\world_7-burying_the_dread.mp3	10.3877	
75	classical\classical_5-waissel_polish_dance.mp3	10.3983	
76	world\world_artist_115_album_2_track_2.mp3	10.3989	
77	classical\classical_5-fantasia_quinta.mp3	10.4112	
78	world\world_artist_127_album_3_track_1.mp3	10.4126	
79	classical\classical_6-corrente_iii_con_la_sua_replica.mp3	10.4315	
80	classical\classical_artist_23_album_1_track_2.mp3	10.4494	
81	classical\classical_artist_16_album_1_track_3.mp3	10.4897	
82	classical\classical_10-i_care_not_for_these_ladies_(thomas_campian).mp3	10.4923	
83	classical\classical_24-i_saw_my_lady_weepe_(dowland).mp3	10.5104	
84	classical\classical_artist_16_album_1_track_4.mp3	10.5125	
85	classical\classical_24-tiento_[del_segundo_tono].mp3	10.5583	
86	classical\classical_artist_7_album_4_track_2.mp3	10.5629	
87	classical\classical_artist_33_album_1_track_3.mp3	10.574	
88	classical\classical_artist_37_album_1_track_6.mp3	10.5864	
89	classical\classical_artist_32_album_1_track_3.mp3	10.5956	
90	classical\classical_20-meet_it_is.mp3	10.5976	
91	classical\classical_artist_14_album_6_track_6.mp3	10.6507	
92	classical\classical_artist_33_album_1_track_2.mp3	10.6658	
93	classical\classical_artist_32_album_3_track_4.mp3	10.6716	
94	classical\classical_2-anon_part_ii_virtus_sancti_spiritus.mp3	10.6775	
95	classical\classical_artist_14_album_4_track_3.mp3	10.6786	
96	classical\classical_artist_14_album_1_track_6.mp3	10.6797	
97	classical\classical_artist_7_album_1_track_5.mp3	10.6843	
98	classical\classical_3-polish_dance.mp3	10.6944	
99	classical\classical_artist_32_album_1_track_5.mp3	10.7005	
100	classical\classical_3-ave_clari_generis_dulcis_magdalena.mp3	10.724	
