Rank	Vector Label	Distance	
1	rock_pop\rock_pop_artist_88_album_1_track_1.mp3	5.5031	
2	electronic\electronic_5-i_just_wanna_be_dancin.mp3	5.6093	
3	electronic\electronic_artist_46_album_2_track_2.mp3	5.643	
4	electronic\electronic_9-the_fate.mp3	6.0055	
5	world\world_artist_124_album_5_track_1.mp3	6.1402	
6	electronic\electronic_artist_49_album_1_track_1.mp3	6.2139	
7	metal_punk\metal_punk_artist_77_album_2_track_1.mp3	6.4336	
8	world\world_artist_124_album_7_track_2.mp3	6.4374	
9	electronic\electronic_artist_67_album_3_track_2.mp3	6.5138	
10	electronic\electronic_artist_64_album_1_track_1.mp3	6.5152	
11	world\world_artist_124_album_1_track_2.mp3	6.5766	
12	rock_pop\rock_pop_artist_89_album_1_track_1.mp3	6.7339	
13	electronic\electronic_artist_47_album_1_track_3.mp3	6.8284	
14	electronic\electronic_15-fajront.mp3	6.8294	
15	electronic\electronic_artist_46_album_1_track_3.mp3	6.8375	
16	rock_pop\rock_pop_5-j'en_suis_desolee.mp3	6.8787	
17	electronic\electronic_4-loopatchka.mp3	6.9155	
18	rock_pop\rock_pop_artist_107_album_1_track_2.mp3	6.946	
19	electronic\electronic_artist_59_album_1_track_2.mp3	7.0117	
20	world\world_artist_114_album_1_track_1.mp3	7.1259	
21	rock_pop\rock_pop_4-leisure_waltz.mp3	7.1505	
22	rock_pop\rock_pop_artist_86_album_1_track_1.mp3	7.1796	
23	electronic\electronic_5-the_persuaders_dub.mp3	7.2129	
24	electronic\electronic_6-sunday.mp3	7.256	
25	rock_pop\rock_pop_6-love_u_like_a_train.mp3	7.281	
26	rock_pop\rock_pop_artist_95_album_1_track_1.mp3	7.3074	
27	electronic\electronic_artist_67_album_4_track_2.mp3	7.3482	
28	electronic\electronic_1-push.mp3	7.4091	
29	rock_pop\rock_pop_13-tips_and_not_trouble.mp3	7.4311	
30	electronic\electronic_8-na_bednicke_stal.mp3	7.4429	
31	rock_pop\rock_pop_12-heaven's_the_place.mp3	7.4856	
32	electronic\electronic_artist_45_album_1_track_3.mp3	7.5751	
33	world\world_artist_114_album_1_track_2.mp3	7.6012	
34	rock_pop\rock_pop_7-i_think_i_started_a_trend.mp3	7.6112	
35	electronic\electronic_1-sunset_(138_bpm_remix).mp3	7.6311	
36	electronic\electronic_artist_67_album_4_track_4.mp3	7.6331	
37	rock_pop\rock_pop_7-a_matter_of_time.mp3	7.6345	
38	electronic\electronic_artist_46_album_2_track_1.mp3	7.6354	
39	metal_punk\metal_punk_artist_82_album_3_track_1.mp3	7.6587	
40	electronic\electronic_1-sunset_(endless_night_journey.mp3	7.6666	
41	jazz_blues\jazz_blues_1-needs_a_bridge.mp3	7.6934	
42	world\world_1-odysseia.mp3	7.7135	
43	electronic\electronic_artist_47_album_1_track_1.mp3	7.7259	
44	electronic\electronic_artist_67_album_3_track_1.mp3	7.765	
45	electronic\electronic_9-nibtal_7.mp3	7.7682	
46	electronic\electronic_6-vibrant.mp3	7.7881	
47	rock_pop\rock_pop_artist_100_album_3_track_3.mp3	7.7982	
48	electronic\electronic_9-taketa.mp3	7.8534	
49	rock_pop\rock_pop_artist_94_album_1_track_4.mp3	7.8548	
50	world\world_artist_124_album_1_track_1.mp3	7.8641	
51	electronic\electronic_artist_47_album_3_track_3.mp3	7.8654	
52	electronic\electronic_7-computer_control.mp3	7.876	
53	electronic\electronic_artist_58_album_1_track_1.mp3	7.8824	
54	metal_punk\metal_punk_8-push.mp3	7.8835	
55	rock_pop\rock_pop_14-you_got_something.mp3	7.8925	
56	electronic\electronic_2-catatonic_convertor.mp3	7.9218	
57	rock_pop\rock_pop_4-waterfall.mp3	7.9265	
58	electronic\electronic_1-believe.mp3	7.9297	
59	electronic\electronic_5-130.mp3	7.9392	
60	metal_punk\metal_punk_artist_81_album_1_track_1.mp3	7.9802	
61	electronic\electronic_artist_59_album_1_track_1.mp3	7.9848	
62	rock_pop\rock_pop_6-didn't_i.mp3	7.9941	
63	rock_pop\rock_pop_artist_93_album_1_track_1.mp3	8.0133	
64	electronic\electronic_5-re-entry.mp3	8.0295	
65	rock_pop\rock_pop_artist_103_album_1_track_1.mp3	8.0302	
66	rock_pop\rock_pop_9-tied.mp3	8.0793	
67	electronic\electronic_11-first_melstorm.mp3	8.0963	
68	metal_punk\metal_punk_4-crawlspace.mp3	8.1051	
69	rock_pop\rock_pop_artist_106_album_1_track_3.mp3	8.1125	
70	rock_pop\rock_pop_artist_88_album_1_track_3.mp3	8.1681	
71	electronic\electronic_artist_67_album_2_track_2.mp3	8.1758	
72	electronic\electronic_artist_47_album_1_track_2.mp3	8.1869	
73	electronic\electronic_artist_49_album_1_track_3.mp3	8.1924	
74	metal_punk\metal_punk_artist_76_album_1_track_1.mp3	8.1962	
75	rock_pop\rock_pop_artist_98_album_1_track_2.mp3	8.1998	
76	electronic\electronic_artist_49_album_1_track_2.mp3	8.205	
77	electronic\electronic_9-hukoplex.mp3	8.2144	
78	rock_pop\rock_pop_3-monsters.mp3	8.2382	
79	rock_pop\rock_pop_6-rnning_on_the_edge.mp3	8.2384	
80	rock_pop\rock_pop_artist_100_album_4_track_1.mp3	8.2411	
81	world\world_artist_123_album_1_track_1.mp3	8.2775	
82	world\world_artist_126_album_3_track_3.mp3	8.2954	
83	electronic\electronic_artist_54_album_1_track_2.mp3	8.3073	
84	electronic\electronic_artist_67_album_4_track_1.mp3	8.3081	
85	electronic\electronic_artist_47_album_3_track_2.mp3	8.3107	
86	rock_pop\rock_pop_10-carefully_watch_the_news.mp3	8.3213	
87	rock_pop\rock_pop_12-lonely_avenue.mp3	8.3256	
88	world\world_artist_124_album_6_track_1.mp3	8.327	
89	rock_pop\rock_pop_artist_106_album_2_track_1.mp3	8.3284	
90	electronic\electronic_artist_45_album_1_track_2.mp3	8.3398	
91	rock_pop\rock_pop_artist_99_album_1_track_4.mp3	8.3478	
92	electronic\electronic_artist_67_album_2_track_3.mp3	8.3642	
93	electronic\electronic_11-garden.mp3	8.3729	
94	rock_pop\rock_pop_11-rock_n_roll_sweetheart.mp3	8.3853	
95	jazz_blues\jazz_blues_artist_74_album_2_track_1.mp3	8.3888	
96	rock_pop\rock_pop_artist_100_album_2_track_3.mp3	8.3957	
97	electronic\electronic_9-scava.mp3	8.4041	
98	world\world_6-saptak-samaya_mix.mp3	8.4846	
99	rock_pop\rock_pop_8-cielo_'69.mp3	8.5088	
100	rock_pop\rock_pop_12-frontliner_blues.mp3	8.5229	
