Rank	Vector Label	Distance	
1	electronic\electronic_artist_46_album_1_track_4.mp3	5.3828	
2	electronic\electronic_5-shindormo.mp3	5.4707	
3	rock_pop\rock_pop_artist_90_album_1_track_2.mp3	5.7565	
4	world\world_artist_122_album_3_track_1.mp3	6.0848	
5	electronic\electronic_4-tbd.mp3	6.3935	
6	electronic\electronic_1-terra.mp3	6.4509	
7	world\world_12-to_halay_(and_back).mp3	6.675	
8	classical\classical_21-concerto_for_2_violins_2_cellos_strings_and_continuo_in_d_rv_564_allegro.mp3	6.8091	
9	rock_pop\rock_pop_10-the_devil_and_the_woman.mp3	6.9017	
10	electronic\electronic_7-the_king_in_yellow_cowboy_boot.mp3	6.9633	
11	world\world_4-bhaarat_(india).mp3	7.0084	
12	electronic\electronic_10-farewell_jupiter.mp3	7.0636	
13	rock_pop\rock_pop_artist_87_album_3_track_3.mp3	7.1142	
14	electronic\electronic_artist_53_album_1_track_1.mp3	7.1396	
15	world\world_artist_126_album_2_track_3.mp3	7.1588	
16	classical\classical_artist_13_album_1_track_3.mp3	7.1625	
17	electronic\electronic_artist_44_album_1_track_2.mp3	7.2013	
18	electronic\electronic_14-ones.mp3	7.2599	
19	rock_pop\rock_pop_artist_100_album_5_track_1.mp3	7.28	
20	world\world_artist_120_album_1_track_1.mp3	7.3014	
21	electronic\electronic_5-ruff_and_tumble.mp3	7.3581	
22	jazz_blues\jazz_blues_artist_72_album_1_track_3.mp3	7.3873	
23	electronic\electronic_artist_63_album_1_track_2.mp3	7.4003	
24	electronic\electronic_5-frozen_garden.mp3	7.4124	
25	jazz_blues\jazz_blues_6-invisible_pants.mp3	7.4185	
26	world\world_12-eu_chorei.mp3	7.4344	
27	electronic\electronic_2-sunrise.mp3	7.4564	
28	rock_pop\rock_pop_8-whats_on_the_ceiling_beats_whats_on_tv.mp3	7.5444	
29	classical\classical_artist_28_album_2_track_1.mp3	7.5577	
30	classical\classical_26-suite_in_f_major_-_allemande.mp3	7.5754	
31	classical\classical_artist_35_album_2_track_2.mp3	7.5941	
32	classical\classical_artist_13_album_1_track_7.mp3	7.6233	
33	electronic\electronic_artist_51_album_1_track_2.mp3	7.6595	
34	electronic\electronic_artist_49_album_1_track_2.mp3	7.6703	
35	rock_pop\rock_pop_artist_89_album_1_track_3.mp3	7.6884	
36	rock_pop\rock_pop_1-survival.mp3	7.6897	
37	world\world_artist_119_album_4_track_2.mp3	7.6985	
38	world\world_3-yedi_tekrar.mp3	7.7126	
39	jazz_blues\jazz_blues_artist_73_album_2_track_2.mp3	7.7362	
40	rock_pop\rock_pop_4-buffalo_nights.mp3	7.7375	
41	electronic\electronic_artist_55_album_1_track_2.mp3	7.7405	
42	electronic\electronic_artist_61_album_1_track_1.mp3	7.7428	
43	electronic\electronic_7-northern_lights.mp3	7.7815	
44	electronic\electronic_6-angels.mp3	7.8219	
45	classical\classical_16-andante_(k._238)_two_sonatas.mp3	7.839	
46	world\world_5-tas.mp3	7.8409	
47	rock_pop\rock_pop_artist_100_album_1_track_4.mp3	7.8573	
48	classical\classical_16-suite_in_c_major_-_allemande_l.mp3	7.8922	
49	world\world_6-pat_do_this.mp3	7.9094	
50	classical\classical_2-recercar_2_(steel_string_guitar).mp3	7.9631	
51	classical\classical_9-pisendel_sonata_in_d_for_violin_and_continuo.mp3	7.9649	
52	classical\classical_artist_9_album_1_track_1.mp3	7.981	
53	electronic\electronic_6-country_man.mp3	7.9888	
54	electronic\electronic_4-tarantula_(hardtrance_mix).mp3	7.9946	
55	classical\classical_24-suite_in_g_minor_-_sarabande.mp3	8.0015	
56	classical\classical_artist_26_album_1_track_1.mp3	8.0636	
57	classical\classical_artist_36_album_1_track_6.mp3	8.0692	
58	world\world_12-naqrah.mp3	8.0966	
59	electronic\electronic_artist_44_album_2_track_2.mp3	8.1063	
60	world\world_artist_124_album_1_track_1.mp3	8.1133	
61	classical\classical_1-oxenford_(anon).mp3	8.1394	
62	rock_pop\rock_pop_artist_90_album_1_track_3.mp3	8.157	
63	classical\classical_20-fabordon_del_primer_tono.mp3	8.1577	
64	classical\classical_artist_4_album_1_track_1.mp3	8.182	
65	world\world_6-watching_clouds.mp3	8.2244	
66	electronic\electronic_3-p-pop.mp3	8.2619	
67	classical\classical_6-suite_in_d_minor_-_gigue_la_ma.mp3	8.2883	
68	jazz_blues\jazz_blues_artist_73_album_2_track_1.mp3	8.2977	
69	classical\classical_artist_28_album_2_track_2.mp3	8.2998	
70	electronic\electronic_artist_48_album_3_track_1.mp3	8.3015	
71	classical\classical_21-sonata_no._2_in_g_minor_allegro.mp3	8.312	
72	classical\classical_6-sonata_no._4_in_f_major_allegro.mp3	8.3194	
73	classical\classical_9-concerto_no.3_in_f_major_rv_2.mp3	8.3407	
74	rock_pop\rock_pop_artist_89_album_1_track_4.mp3	8.3479	
75	electronic\electronic_2-blue_days.mp3	8.3523	
76	classical\classical_25-sonata_no._3_in_b_flat_major_allegro.mp3	8.3588	
77	classical\classical_12-allegro_sonata_for_violoncell.mp3	8.3597	
78	classical\classical_artist_4_album_1_track_3.mp3	8.385	
79	classical\classical_27-pour_le_genie_de_mars_suite_i.mp3	8.3986	
80	classical\classical_artist_13_album_1_track_2.mp3	8.4176	
81	jazz_blues\jazz_blues_8-house_rockin.mp3	8.4242	
82	electronic\electronic_2-so_easy.mp3	8.4247	
83	classical\classical_22-handel_oxford_water_music_suit.mp3	8.4362	
84	classical\classical_10-recercar_10_(steel_string_guitar).mp3	8.4393	
85	classical\classical_5-leclair_premier_recreation_de.mp3	8.4465	
86	electronic\electronic_7-skunk_werks.mp3	8.4526	
87	classical\classical_artist_24_album_1_track_4.mp3	8.4527	
88	classical\classical_artist_30_album_1_track_1.mp3	8.4586	
89	world\world_2-breathing.mp3	8.4599	
90	electronic\electronic_artist_62_album_1_track_3.mp3	8.461	
91	world\world_1-ashek.mp3	8.4684	
92	classical\classical_30-air_vif_de_lacdemoniens_suite.mp3	8.4685	
93	world\world_artist_124_album_6_track_1.mp3	8.4715	
94	world\world_artist_119_album_4_track_5.mp3	8.4777	
95	classical\classical_2-sonata_no._6_in_g_minor_allegro.mp3	8.4811	
96	classical\classical_artist_13_album_1_track_4.mp3	8.4812	
97	classical\classical_artist_13_album_1_track_1.mp3	8.489	
98	electronic\electronic_artist_66_album_1_track_1.mp3	8.5037	
99	electronic\electronic_6-click_full_pussy.mp3	8.5118	
100	electronic\electronic_artist_50_album_2_track_2.mp3	8.519	
