Rank	Vector Label	Distance	
1	jazz_blues\jazz_blues_19-cause_you_been_messin_'round.mp3	4.9535	
2	world\world_artist_126_album_2_track_1.mp3	6.3315	
3	jazz_blues\jazz_blues_artist_73_album_1_track_2.mp3	6.5109	
4	jazz_blues\jazz_blues_20-greyhound_blues.mp3	6.6206	
5	jazz_blues\jazz_blues_11-jag's_rag.mp3	7.0243	
6	world\world_7-sehtar_dastan.mp3	7.0398	
7	jazz_blues\jazz_blues_artist_73_album_3_track_3.mp3	7.0647	
8	jazz_blues\jazz_blues_artist_73_album_3_track_5.mp3	7.1353	
9	jazz_blues\jazz_blues_artist_73_album_1_track_1.mp3	7.1654	
10	jazz_blues\jazz_blues_artist_73_album_3_track_1.mp3	7.3514	
11	world\world_9-innerlude.mp3	7.3709	
12	world\world_artist_119_album_1_track_1.mp3	7.3709	
13	jazz_blues\jazz_blues_9-1_carona_no_lime.mp3	7.4698	
14	jazz_blues\jazz_blues_8-house_rockin.mp3	7.6686	
15	classical\classical_11-suite_in_g_major_-_sarabande_j.mp3	7.676	
16	jazz_blues\jazz_blues_artist_73_album_3_track_4.mp3	7.7517	
17	jazz_blues\jazz_blues_artist_73_album_2_track_1.mp3	7.79	
18	world\world_artist_115_album_1_track_2.mp3	7.8265	
19	world\world_artist_115_album_1_track_1.mp3	7.8344	
20	classical\classical_artist_13_album_1_track_5.mp3	7.8705	
21	classical\classical_7-tombeau_de_m._blancheroche_(froberger).mp3	7.8721	
22	electronic\electronic_artist_52_album_1_track_4.mp3	7.9047	
23	world\world_artist_119_album_2_track_2.mp3	7.9697	
24	classical\classical_9-concerto_for_2_violins_2_cellos_strings_&_continuo_in_f_rv_551_allegro.mp3	7.9863	
25	classical\classical_22-handel_oxford_water_music_suit.mp3	7.9878	
26	classical\classical_6-suite_in_d_minor_-_gigue_la_ma.mp3	8.0217	
27	classical\classical_artist_13_album_1_track_2.mp3	8.0352	
28	world\world_artist_126_album_1_track_3.mp3	8.0455	
29	classical\classical_artist_13_album_1_track_7.mp3	8.0974	
30	classical\classical_artist_13_album_1_track_6.mp3	8.1353	
31	classical\classical_28-suite_in_f_major_-_sarabande.mp3	8.1523	
32	world\world_artist_126_album_3_track_3.mp3	8.2623	
33	classical\classical_9-chaconne_(ennemond_gaultier_le_vieux).mp3	8.2911	
34	electronic\electronic_artist_52_album_1_track_2.mp3	8.2926	
35	classical\classical_21-suite_in_c_major_-_gigue_la_ve.mp3	8.3379	
36	electronic\electronic_artist_52_album_1_track_3.mp3	8.346	
37	world\world_artist_122_album_2_track_2.mp3	8.3482	
38	world\world_14-milk_shake.mp3	8.3731	
39	classical\classical_16-suite_in_c_major_-_allemande_l.mp3	8.4343	
40	world\world_13-cricket_in_a_crop_circle.mp3	8.4411	
41	world\world_9-six_white_horses.mp3	8.4876	
42	classical\classical_24-suite_in_g_minor_-_sarabande.mp3	8.4956	
43	world\world_12-nearer_to_chi.mp3	8.5067	
44	classical\classical_artist_13_album_1_track_1.mp3	8.5917	
45	jazz_blues\jazz_blues_8-long_road_to_travel.mp3	8.5999	
46	jazz_blues\jazz_blues_14-preachin'_blues.mp3	8.6078	
47	world\world_2-birds_of_mindrise.mp3	8.6325	
48	world\world_10-peaceful_planet.mp3	8.6522	
49	world\world_artist_122_album_2_track_1.mp3	8.6817	
50	jazz_blues\jazz_blues_artist_73_album_1_track_5.mp3	8.7008	
51	world\world_15-en_el_vettem.mp3	8.7688	
52	world\world_artist_118_album_1_track_1.mp3	8.7963	
53	classical\classical_14-suite_in_g_major_-_gigue.mp3	8.8123	
54	classical\classical_9-pisendel_sonata_in_d_for_violin_and_continuo.mp3	8.8219	
55	jazz_blues\jazz_blues_1-like_white_on_rice.mp3	8.8585	
56	classical\classical_26-suite_in_f_major_-_allemande.mp3	8.8938	
57	electronic\electronic_10-echoes_of_the_big_bang.mp3	8.8995	
58	world\world_artist_118_album_1_track_2.mp3	8.9045	
59	jazz_blues\jazz_blues_19-sittin'_under_the_tree.mp3	8.9642	
60	rock_pop\rock_pop_10-psychedelic_baby.mp3	8.9702	
61	world\world_artist_126_album_2_track_2.mp3	9.0146	
62	classical\classical_artist_13_album_1_track_4.mp3	9.0221	
63	jazz_blues\jazz_blues_artist_73_album_1_track_4.mp3	9.0227	
64	world\world_1-ashek.mp3	9.0364	
65	classical\classical_artist_13_album_1_track_3.mp3	9.0858	
66	classical\classical_5-suite_in_a_minor_(sheidt).mp3	9.0865	
67	rock_pop\rock_pop_artist_95_album_1_track_3.mp3	9.0876	
68	electronic\electronic_artist_47_album_2_track_1.mp3	9.1025	
69	world\world_1-ragasutra.mp3	9.1123	
70	world\world_artist_119_album_1_track_2.mp3	9.1123	
71	classical\classical_4-concerto_for_2_violins_2_cellos_strings_&_continuo_in_d_rv_95_allegro.mp3	9.1399	
72	classical\classical_8-a_french_toy_(cittern).mp3	9.1623	
73	world\world_7-two_plus_blue.mp3	9.187	
74	world\world_artist_119_album_1_track_3.mp3	9.187	
75	jazz_blues\jazz_blues_artist_73_album_1_track_6.mp3	9.1904	
76	classical\classical_artist_4_album_1_track_6.mp3	9.1947	
77	jazz_blues\jazz_blues_artist_73_album_1_track_3.mp3	9.2174	
78	classical\classical_artist_35_album_2_track_2.mp3	9.2405	
79	world\world_4-interlocken.mp3	9.2498	
80	jazz_blues\jazz_blues_12-hopscotch.mp3	9.3297	
81	classical\classical_artist_35_album_1_track_6.mp3	9.3318	
82	classical\classical_8-differencias_sobr'el_canto.mp3	9.4157	
83	world\world_6-jig_in_the_parlor.mp3	9.4769	
84	classical\classical_artist_26_album_1_track_1.mp3	9.5238	
85	electronic\electronic_11-und_so_weiter_i.mp3	9.5282	
86	world\world_5-dragaicuta.mp3	9.529	
87	electronic\electronic_artist_53_album_1_track_2.mp3	9.5452	
