Rank	Vector Label	Distance	
1	jazz_blues\jazz_blues_artist_73_album_2_track_2.mp3	5.6911	
2	jazz_blues\jazz_blues_artist_73_album_2_track_3.mp3	5.7569	
3	electronic\electronic_6-deadly_season.mp3	5.8558	
4	jazz_blues\jazz_blues_artist_73_album_2_track_1.mp3	6.1847	
5	world\world_artist_126_album_2_track_2.mp3	6.233	
6	classical\classical_2-recercar_2_(steel_string_guitar).mp3	6.3472	
7	classical\classical_artist_16_album_1_track_5.mp3	6.5627	
8	world\world_5-survival_in_a_house_darkening.mp3	6.5677	
9	world\world_3-event_horizon.mp3	6.6296	
10	world\world_artist_119_album_4_track_5.mp3	6.6715	
11	classical\classical_artist_7_album_2_track_2.mp3	6.6858	
12	world\world_artist_126_album_2_track_3.mp3	6.8583	
13	classical\classical_artist_33_album_1_track_2.mp3	6.8601	
14	jazz_blues\jazz_blues_artist_73_album_1_track_4.mp3	6.8623	
15	jazz_blues\jazz_blues_7-tumbleweed.mp3	6.8762	
16	classical\classical_artist_16_album_1_track_3.mp3	6.8875	
17	world\world_16-hal_in_a_handbasket.mp3	6.9078	
18	classical\classical_artist_28_album_2_track_1.mp3	6.9084	
19	classical\classical_8-caprice_de_chaconne.mp3	6.9668	
20	classical\classical_artist_33_album_2_track_3.mp3	6.969	
21	jazz_blues\jazz_blues_8-down_the_line.mp3	6.9693	
22	world\world_1-ashek.mp3	6.9778	
23	classical\classical_10-gigue.mp3	7.0012	
24	world\world_artist_126_album_3_track_2.mp3	7.004	
25	world\world_artist_115_album_2_track_2.mp3	7.0062	
26	jazz_blues\jazz_blues_artist_73_album_1_track_1.mp3	7.0641	
27	classical\classical_artist_23_album_1_track_5.mp3	7.0748	
28	electronic\electronic_5-frozen_garden.mp3	7.0996	
29	jazz_blues\jazz_blues_artist_73_album_3_track_5.mp3	7.1215	
30	classical\classical_6-dvorak_violin_concerto_in_a_minor_op_53_finale.mp3	7.2324	
31	classical\classical_artist_16_album_1_track_1.mp3	7.2392	
32	classical\classical_10-i_care_not_for_these_ladies_(thomas_campian).mp3	7.2839	
33	classical\classical_artist_9_album_2_track_10.mp3	7.307	
34	classical\classical_6-recercar_6_(steel_string_guitar).mp3	7.3611	
35	classical\classical_artist_9_album_1_track_4.mp3	7.4644	
36	classical\classical_artist_4_album_1_track_1.mp3	7.4673	
37	classical\classical_artist_40_album_4_track_1.mp3	7.4699	
38	jazz_blues\jazz_blues_9-silk_road.mp3	7.4726	
39	world\world_3-the_fire_circle.mp3	7.5134	
40	classical\classical_artist_9_album_1_track_6.mp3	7.5251	
41	classical\classical_25-rujero.mp3	7.529	
42	classical\classical_7-tamerlano_act_i_track_7.mp3	7.542	
43	classical\classical_artist_16_album_1_track_4.mp3	7.551	
44	world\world_artist_111_album_1_track_2.mp3	7.5514	
45	classical\classical_artist_7_album_1_track_8.mp3	7.5536	
46	electronic\electronic_3-warning_signal.mp3	7.5585	
47	classical\classical_3-vivaldi_suonata_a_solo_facto_per_monsieur_pisendel_rv6.mp3	7.5725	
48	classical\classical_25-sonata_no._3_in_b_flat_major_allegro.mp3	7.5813	
49	classical\classical_10-recercar_10_(steel_string_guitar).mp3	7.586	
50	classical\classical_5-leclair_premier_recreation_de.mp3	7.6173	
51	classical\classical_34-il_me_souffit_(sermisy).mp3	7.6236	
52	classical\classical_artist_7_album_4_track_2.mp3	7.637	
53	jazz_blues\jazz_blues_artist_71_album_1_track_1.mp3	7.64	
54	classical\classical_29-sixiesme_branle_de_bourgogne_(.mp3	7.6484	
55	classical\classical_14-recercar_14_(steel_string_guitar).mp3	7.673	
56	classical\classical_21-qui_veut_chasser_une_migraine_(g._bataille).mp3	7.6749	
57	world\world_artist_119_album_4_track_3.mp3	7.6821	
58	classical\classical_artist_30_album_1_track_6.mp3	7.6841	
59	classical\classical_artist_16_album_1_track_2.mp3	7.6902	
60	classical\classical_13-recercar_13.mp3	7.6927	
61	classical\classical_5-amarilli_mia_bella_(caccini).mp3	7.7192	
62	classical\classical_9-leclair_premier_recreation_de.mp3	7.7233	
63	classical\classical_artist_7_album_1_track_7.mp3	7.7754	
64	classical\classical_21-sonata_no._2_in_g_minor_allegro.mp3	7.7895	
65	classical\classical_artist_35_album_1_track_6.mp3	7.8158	
66	classical\classical_artist_5_album_1_track_1.mp3	7.819	
67	classical\classical_artist_23_album_1_track_6.mp3	7.833	
68	classical\classical_12-suite_for_2_lutes_in_bb_(baron.mp3	7.8569	
69	classical\classical_10-johann_christian_bach_(arr_mozart)_concerto_in_d_k107_(1772).mp3	7.8775	
70	classical\classical_1-handel_trio_sonata_op._5_no.4.mp3	7.8922	
71	classical\classical_artist_24_album_1_track_2.mp3	7.8971	
72	world\world_4-interlocken.mp3	7.9042	
73	electronic\electronic_2-dusty_lands.mp3	7.9055	
74	classical\classical_artist_1_album_1_track_8.mp3	7.9193	
75	classical\classical_17-james_hook_concerto_in_d_no.5_(1770).mp3	7.9198	
76	jazz_blues\jazz_blues_8-house_rockin.mp3	7.9281	
77	classical\classical_artist_29_album_1_track_1.mp3	7.9404	
78	classical\classical_artist_40_album_3_track_3.mp3	7.9416	
79	classical\classical_artist_7_album_1_track_3.mp3	7.9473	
80	classical\classical_artist_35_album_2_track_1.mp3	7.9474	
81	classical\classical_7-toccata_xvii.mp3	7.9513	
82	classical\classical_9-preludio_v.mp3	7.9522	
83	classical\classical_9-concerto_no.3_in_f_major_rv_2.mp3	7.9636	
84	classical\classical_artist_7_album_1_track_4.mp3	7.9676	
85	world\world_8-boathag.mp3	7.9684	
86	classical\classical_6-sonata_no._4_in_f_major_allegro.mp3	7.9721	
87	classical\classical_3-sonata_in_c_major_(weiss)_-_la.mp3	7.9792	
88	classical\classical_artist_33_album_1_track_3.mp3	7.9844	
